Model,Accuracy,AUC,Precision,Recall,F1,MCC
XGBoost,0.8687240902809765,0.9229618920368956,0.7727620504973222,0.6441326530612245,0.7026086956521739,0.6234945732205649
Logistic_Regression,0.8530631045601106,0.9024448783557912,0.7392325763508223,0.6020408163265306,0.6636203866432338,0.5757993217555989
Random_Forest,0.8483033932135728,0.8928751986133179,0.7269170579029735,0.5924744897959183,0.6528460997891778,0.5618471272817848
KNN,0.8374021188392445,0.8668773601452715,0.6848220769789397,0.6014030612244898,0.6404074702886248,0.537815782524563
Decision_Tree,0.8152924919391985,0.7520580982645838,0.6132836747361887,0.6301020408163265,0.6215791129285939,0.4995194513735348
Naive_Bayes,0.5366190695532013,0.7334477724355667,0.33597285067873306,0.9470663265306123,0.49599198396793587,0.3236651398839895
